ICD,Flag,ICDString,CCSCode,CCSString
I65,10,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",110,Occlusion or stenosis of precerebral arteries
T58,10,Toxic effect of carbon monoxide,243,Poisoning by nonmedicinal substances
N83,10,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",172,Ovarian cyst
H46,10,Optic neuritis,90,Inflammation; infection of eye
I37,10,Nonrheumatic pulmonary valve disorders,96,Heart valve disorders
I77,10,Other disorders of arteries and arterioles,117,Other circulatory disease
N60,10,Benign mammary dysplasia,167,Nonmalignant breast conditions
C4A,10,Merkel cell carcinoma,23,Other non-epithelial cancer of skin
F14,10,Cocaine related disorders,661,Substance-related disorders
F18,10,Inhalant related disorders,661,Substance-related disorders
F11,10,Opioid related disorders,661,Substance-related disorders
F55,10,Abuse of non-psychoactive substances,661,Substance-related disorders
F12,10,Cannabis related disorders,661,Substance-related disorders
F13,10,"Sedative, hypnotic, or anxiolytic related disorders",661,Substance-related disorders
F16,10,Hallucinogen related disorders,661,Substance-related disorders
F15,10,Other stimulant related disorders,661,Substance-related disorders
C55,10,"Malignant neoplasm of uterus, part unspecified",25,Cancer of uterus
C54,10,Malignant neoplasm of corpus uteri,25,Cancer of uterus
E51,10,Thiamine deficiency,52,Nutritional deficiencies
E53,10,Deficiency of other B group vitamins,52,Nutritional deficiencies
E52,10,Niacin deficiency [pellagra],52,Nutritional deficiencies
Y23,10,"Rifle, shotgun and larger firearm discharge, undetermined intent",2605,E Codes: Firearm
Y24,10,"Other and unspecified firearm discharge, undetermined intent",2605,E Codes: Firearm
Y29,10,"Contact with blunt object, undetermined intent",2614,E Codes: Struck by; against
Y31,10,"Falling, lying or running before or into moving object, undetermined intent",2618,E Codes: Other specified and classifiable
Y26,10,"Exposure to smoke, fire and flames, undetermined intent",2604,E Codes: Fire/burn
Y32,10,"Crashing of motor vehicle, undetermined intent",2607,E Codes: Motor vehicle traffic (MVT)
Y33,10,"Other specified events, undetermined intent",2619,E Codes: Other specified; NEC
Y27,10,"Contact with steam, hot vapors and hot objects, undetermined intent",2604,E Codes: Fire/burn
Y28,10,"Contact with sharp object, undetermined intent",2601,E Codes: Cut/pierceb
Y22,10,"Handgun discharge, undetermined intent",2605,E Codes: Firearm
Y25,10,"Contact with explosive material, undetermined intent",2618,E Codes: Other specified and classifiable
K01,10,Embedded and impacted teeth,136,Disorders of teeth and jaw
F95,10,Tic disorder,655,Disorders usually diagnosed in infancy
I74,10,Arterial embolism and thrombosis,116,Aortic and peripheral arterial embolism or thrombosis
R91,10,Abnormal findings on diagnostic imaging of lung,133,Other lower respiratory disease
Z39,10,Encounter for maternal postpartum care and examination,196,Other pregnancy and delivery including normal
Z33,10,Pregnant state,178,Induced abortion
Z37,10,Outcome of delivery,196,Other pregnancy and delivery including normal
Z34,10,Encounter for supervision of normal pregnancy,196,Other pregnancy and delivery including normal
Z31,10,Encounter for procreative management,176,Contraceptive and procreative management
Z3A,10,Weeks of gestation,259,Residual codes; unclassified
Z32,10,Encounter for pregnancy test and childbirth and childcare instruction,258,Other screening for suspected conditions
Z36,10,Encounter for antenatal screening of mother,258,Other screening for suspected conditions
Z30,10,Encounter for contraceptive management,176,Contraceptive and procreative management
Z38,10,Liveborn infants according to place of birth and type of delivery,218,Liveborn
E46,10,Unspecified protein-calorie malnutrition,52,Nutritional deficiencies
E44,10,Protein-calorie malnutrition of moderate and mild degree,52,Nutritional deficiencies
C18,10,Malignant neoplasm of colon,14,Cancer of colon
C78,10,Secondary malignant neoplasm of respiratory and digestive organs,42,Secondary malignancies
K90,10,Intestinal malabsorption,155,Other gastrointestinal disorders
E73,10,Lactose intolerance,58,Other nutritional; endocrine; and metabolic disorders
A59,10,Trichomoniasis,8,Other infections; including parasitic
B58,10,Toxoplasmosis,8,Other infections; including parasitic
O76,10,Abnormality in fetal heart rate and rhythm complicating labor and delivery,195,Other complications of birth; puerperium affecting management of mother
G20,10,Parkinsons disease,79,Parkinson`s disease
R25,10,Abnormal involuntary movements,95,Other nervous system disorders
S86,10,"Injury of muscle, fascia and tendon at lower leg level",232,Sprains and strains
V97,10,Other specified air transport accidents,2610,E Codes: Transport; not MVT
S69,10,"Other and unspecified injuries of wrist, hand and finger(s)",244,Other injuries and conditions due to external causes
S16,10,"Injury of muscle, fascia and tendon at neck level",232,Sprains and strains
S76,10,"Injury of muscle, fascia and tendon at hip and thigh level",232,Sprains and strains
S49,10,Other and unspecified injuries of shoulder and upper arm,229,Fracture of upper limb
S19,10,Other specified and unspecified injuries of neck,244,Other injuries and conditions due to external causes
S79,10,Other and unspecified injuries of hip and thigh,230,Fracture of lower limb
S56,10,"Injury of muscle, fascia and tendon at forearm level",232,Sprains and strains
T07,10,Unspecified multiple injuries,244,Other injuries and conditions due to external causes
T14,10,Injury of unspecified body region,244,Other injuries and conditions due to external causes
S66,10,"Injury of muscle, fascia and tendon at wrist and hand level",232,Sprains and strains
