ICD,Flag,ICDString,CCSCode,CCSString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString
001,9,Cholera,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
002,9,Typhoid and paratyphoid fevers,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
003,9,Other salmonella infections,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
004,9,Shigellosis,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
005,9,Other food poisoning (bacterial),135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
006,9,Amebiasis,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
007,9,Other protozoal intestinal diseases,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
008,9,Intestinal infections due to other organisms,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
009,9,Ill-defined intestinal infections,135,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection,9,Diseases of the digestive system,9.1,Intestinal infection
010,9,Primary tuberculous infection,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
011,9,Pulmonary tuberculosis,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
012,9,Other respiratory tuberculosis,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
013,9,Tuberculosis of meninges and central nervous system,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
014,9,"Tuberculosis of intestines, peritoneum, and mesenteric glands",1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
015,9,Tuberculosis of bones and joints,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
016,9,Tuberculosis of genitourinary system,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
017,9,Tuberculosis of other organs,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
018,9,Miliary tuberculosis,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
020,9,Plague,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
021,9,Tularemia,197,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections
022,9,Anthrax,197,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections
023,9,Brucellosis,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
